,eid,gid,name
0,1,0,
1,2,0,
2,3,0,
3,4,0,
4,5,0,
5,6,0,
6,7,0,
7,8,0,Nederlandse Kampioenschappen
8,9,0,
9,10,0,
10,11,0,
11,12,0,Provinciaal Kampioenschap Utrecht
12,13,0,Provinciaal Kampioenschap Noord-Brabant
13,14,0,World Championships
14,15,0,
15,16,0,
16,17,0,Nederlandse Kampioenschappen
17,18,0,
18,19,0,
19,20,0,"Provinciaal Kampioenschap Gelderland, Eredivisie"
20,21,0,
21,22,0,
22,23,0,
23,24,0,
24,25,0,Deutsche Meisterschaften
25,26,0,"Provinciaal Kampioenschap Utrecht, Eredivisie"
26,27,0,Provinciaal Kampioenschap Noord-Brabant
27,28,0,World Championships
28,29,0,
29,30,0,
30,30,1,
31,31,0,Nederlandse Kampioenschappen
32,31,1,"Nederlandse Kampioenschappen, Jeugd"
33,32,0,Spielemesse Essen
34,33,0,
35,34,0,Masters
36,34,1,Masters
37,35,0,
38,35,1,
39,36,0,
40,36,1,
41,36,2,
42,36,3,
43,37,0,
44,38,0,
45,39,0,
46,39,1,
47,40,0,Provinciaal Kampioenschap Gelderland
48,41,0,
49,42,0,
50,42,1,
51,42,2,
52,42,3,
53,43,0,
54,44,0,
55,45,0,
56,45,1,
57,45,2,
58,45,3,
59,46,0,
60,46,1,
61,47,0,Deutsche Meisterschaften
62,47,1,
63,48,0,"Provinciaal Kampioenschap Utrecht, Eredivisie"
64,48,1,Provinciaal Kampioenschap Utrecht
65,49,0,"1. Bergische Meisterschaften, Senioren"
66,49,1,"1. Bergische Meisterschaften, Junioren"
67,50,0,
68,50,1,
69,50,2,
70,51,0,
71,51,1,
72,52,0,World Championships
73,52,1,"World Championships, Open Tournament"
74,53,0,
75,53,1,
76,53,2,
77,54,0,Provinciaal Kampioenschap Noord-Brabant
78,54,1,"Provinciaal Kampioenschap Noord-Brabant, Jeugd"
79,55,0,
80,56,0,
81,57,0,Nederlandse Kampioenschappen
82,57,1,"Nederlandse Kampioenschappen, Jeugd"
83,58,0,
84,59,0,Belgian Championship
85,60,0,Masters
86,61,0,
87,62,0,
88,62,1,
89,62,2,
90,63,0,
91,63,1,
92,64,0,
93,65,0,
94,66,0,"Provinciaal Kampioenschap Gelderland, Jeugd"
95,66,1,Provinciaal Kampioenschap Gelderland
96,67,0,
97,67,1,
98,67,2,
99,68,0,"2. Bergische Meisterschaften, Senioren"
100,68,1,"2. Bergische Meisterschaften, Junioren"
101,69,0,
102,70,0,
103,71,0,
104,71,1,
105,71,2,
106,72,0,
107,72,1,
108,73,0,
109,73,1,
110,73,2,
111,74,0,
112,75,0,
113,76,0,"Provinciaal Kampioenschap Utrecht, Eredivisie"
114,76,1,Provinciaal Kampioenschap Utrecht
115,76,2,"Provinciaal Kampioenschap Utrecht, Jeugd"
116,77,0,
117,77,1,
118,78,0,
119,78,1,
120,79,0,
121,80,0,
122,81,0,
123,82,0,
124,83,0,
125,83,1,
126,84,0,World Championships
127,84,1,"World Championships, Open Tournament"
128,85,0,
129,86,0,
130,87,0,Provinciaal Kampioenschap Noord-Brabant
131,88,0,
132,89,0,Nederlandse Kampioenschappen
133,89,1,"Nederlandse Kampioenschappen, Jeugd"
134,90,0,Deutsche Meisterschaften
135,91,0,
136,92,0,Fahnenkiller Winterturnier 2000
